#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
127,spil,dk,33,47000,0.3,0.99,gratis spil,27/01/2022 14:04,Sitelinks,77000,106000,0,0,0,0,29-01-2022 09:51:19
128,zizzi,dk,5,47000,0.3,1.07,zizzi,26/01/2022 13:36,"Sitelinks,People also ask",247000,45000,0,0,0,0,29-01-2022 09:50:40
129,fuq,dk,19,47000,0.25,1.02,porn,27/01/2022 16:40,Sitelinks,6960000,14000,0,0,0,0,29-01-2022 09:48:22
130,tui,dk,7,47000,0.2,0.99,tui,24/01/2022 09:30,"Adwords top,Sitelinks,Knowledge panel",3360000,26000,0,0,0,0,29-01-2022 09:55:57
131,tiger,dk,1,46000,1.8,0.69,tiger,23/01/2022 19:17,"Sitelinks,Knowledge panel,People also ask,Image pack",3450000,19000,0,0,0,0,29-01-2022 09:47:59
132,nelly,dk,6,46000,0.06,1.01,nelly,28/01/2022 11:49,"Shopping results,Thumbnails,Adwords top,Sitelinks,People also ask,Knowledge panel",636000,22000,0,0,0,0,29-01-2022 09:53:46
133,t,dk,5,46000,0.8,0.44,t,24/01/2022 00:18,"Sitelinks,Image pack",8210000,8600,0,1,1,0,29-01-2022 09:50:17
134,tetris,dk,39,45000,0.3,1.12,tetris,27/01/2022 03:40,"Sitelinks,Knowledge panel",2320000,25000,0,0,0,0,29-01-2022 09:53:37
135,ridehesten,dk,1,45000,1.8,1.08,ridehesten,27/01/2022 12:51,"Sitelinks,Image pack,Top stories,Videos",47000,41000,1,0,0,0,29-01-2022 09:52:13
136,news,dk,80,45000,0.4,0.73,tv2 nyhederne,24/01/2022 17:51,"People also ask,Sitelinks",53160000,2460000,0,0,0,0,29-01-2022 09:50:08
137,su,dk,8,44000,2.5,1.01,su,28/01/2022 03:49,"Sitelinks,People also ask",708000,113000,0,1,1,0,29-01-2022 09:54:56
138,hungry,dk,0,44000,0.03,1.01,hungry,24/01/2022 12:20,"Sitelinks,People also ask,Knowledge panel",341000,24000,1,0,0,0,29-01-2022 09:49:23
139,mundbind,dk,6,44000,0.35,1.17,mundbind,23/01/2022 04:22,"Shopping results,Thumbnails,Sitelinks,People also ask,Image pack,Top stories,Videos",46000,8300,0,0,0,0,29-01-2022 09:49:43
140,pinserest,dk,4,44000,,,pinterest,26/01/2022 20:29,"Sitelinks,People also ask,Knowledge panel",44000,87000,1,0,1,1,29-01-2022 09:54:01
141,digipuzzle,dk,10,43000,0.5,1.04,digipuzzle,26/01/2022 15:58,"Image pack,Knowledge panel",62000,45000,1,0,0,1,29-01-2022 09:47:21
142,dbu,dk,24,43000,1.6,0.99,dbu,26/01/2022 16:18,"Sitelinks,Tweet box,Knowledge panel",83000,48000,0,0,0,0,29-01-2022 09:56:06
143,vg,dk,14,42000,0.7,0.89,vg,27/01/2022 11:05,"Sitelinks,Knowledge panel",8030000,47000,0,1,1,0,29-01-2022 09:47:31
144,trump,dk,66,42000,0.8,0.99,donald trump,24/01/2022 21:14,"Sitelinks,Top stories,Videos,Image pack",23420000,25000,0,0,0,0,29-01-2022 09:54:24
145,3f,dk,2,42000,0.15,0.93,3f,27/01/2022 18:44,"Sitelinks,People also ask,Tweet box,Image pack,Knowledge panel",128000,39000,0,1,1,0,29-01-2022 09:48:11
146,hej,dk,1,42000,0.04,0.32,hej,24/01/2022 10:50,"Top stories,Videos,People also ask,Sitelinks,Image pack",208000,3000,0,0,0,0,29-01-2022 09:47:49
147,mink,dk,3,42000,0.9,0.3,mink,28/01/2022 09:19,"People also ask,Sitelinks,Top stories,Thumbnails,Videos,Knowledge panel",650000,2000,0,0,0,0,29-01-2022 09:56:14
148,sunset,dk,0,42000,0.05,0.66,sunset,27/01/2022 22:38,"Sitelinks,Knowledge panel",2160000,51000,0,0,0,0,29-01-2022 09:53:14
149,degulesider,dk,3,41000,0.01,1.03,de gule sider,25/01/2022 00:29,"Sitelinks,Knowledge panel,Image pack",43000,339000,1,0,0,0,29-01-2022 09:47:21
150,tv2news,dk,0,41000,0.06,0.96,tv2 nyhederne,23/01/2022 03:43,"Sitelinks,Tweet box,People also ask,Image pack",42000,2470000,1,0,1,0,29-01-2022 09:54:09
151,systime,dk,7,41000,0.15,1.02,systime.dk,25/01/2022 08:05,"Sitelinks,Image pack,Knowledge panel",42000,700,1,0,0,0,29-01-2022 09:53:17
152,bmw,dk,79,41000,0.09,0.72,bmw,27/01/2022 14:40,"Sitelinks,Image pack,People also ask,Top stories,Videos,Knowledge panel",7840000,27000,0,0,0,0,29-01-2022 09:56:02
153,messi,dk,12,40000,0.4,0.43,messi,23/01/2022 06:07,"Sitelinks,Knowledge panel,Top stories,Videos",11530000,20000,0,0,0,0,29-01-2022 09:50:02
154,side6,dk,0,40000,0.25,1.07,side6,24/01/2022 17:57,Sitelinks,42000,43000,1,0,1,0,29-01-2022 09:52:09
155,petiteknit,dk,1,39000,0.09,1.09,petit knit,27/01/2022 12:05,"Sitelinks,Image pack",78000,102000,1,0,1,0,29-01-2022 09:54:00
156,wether,dk,32,39000,0.1,0.2,wether,23/01/2022 05:16,"Featured snippet,People also ask,Sitelinks",9150000,400,1,0,0,1,29-01-2022 09:55:34
157,gucci,dk,0,39000,0.1,0.81,gucci,26/01/2022 21:46,"Adwords top,Thumbnails,Sitelinks,Image pack,People also ask,Knowledge panel",6430000,12000,0,0,0,0,29-01-2022 09:48:12
158,jubii,dk,7,39000,0.09,1.04,jubii,24/01/2022 03:30,"Sitelinks,People also ask,Knowledge panel",41000,49000,0,0,0,0,29-01-2022 09:55:15
159,sexwriter,dk,0,39000,0.03,1.02,erotiske noveller,24/01/2022 10:40,Sitelinks,42000,99000,1,0,1,0,29-01-2022 09:55:07
160,genbrugsbutikker,dk,7,39000,1.6,0.44,genbrugsbutikker,27/01/2022 11:11,Sitelinks,39000,9600,0,1,1,0,29-01-2022 09:51:08
161,wiki,dk,80,38000,0.6,0.79,wiki,23/01/2022 17:03,"Sitelinks,People also ask,Image pack",6590000,26000,0,0,0,0,29-01-2022 09:53:01
162,3,dk,5,38000,0.2,0.88,3,24/01/2022 08:26,"Sitelinks,Knowledge panel",4330000,57000,0,1,1,0,29-01-2022 09:53:28
